시도,시군구,구별_노인인구수,구별_치과수,구별_지표
인천광역시,서구,94645,185,511.5945945945946
경기도,부천시,156250,308,507.3051948051948
경기도,용인시,187079,370,505.6189189189189
서울특별시,구로구,86351,171,504.9766081871345
울산광역시,북구,28293,57,496.36842105263156
경기도,안산시,103473,210,492.72857142857146
경기도,군포시,50245,102,492.5980392156863
대구광역시,달서구,107867,219,492.5433789954338
부산광역시,부산진구,87871,179,490.8994413407821
제주특별자치도,제주시,90308,187,482.93048128342247
인천광역시,연수구,57800,120,481.6666666666667
서울특별시,서대문구,62264,130,478.95384615384614
충청남도,천안시,101258,213,475.38967136150234
세종특별자치시,어진동,474,1,474.0
세종특별자치시,조치원읍,8890,19,467.89473684210526
서울특별시,관악구,92486,198,467.1010101010101
서울특별시,강서구,113717,247,460.3927125506073
경기도,과천시,12818,28,457.7857142857143
서울특별시,금천구,49877,109,457.58715596330273
경기도,평택시,89931,197,456.502538071066
광주광역시,남구,47014,104,452.0576923076923
광주광역시,북구,84522,188,449.5851063829787
광주광역시,동구,25985,58,448.01724137931035
서울특별시,양천구,84784,192,441.5833333333333
경기도,시흥시,71659,163,439.62576687116564
부산광역시,동래구,64414,147,438.1904761904762
전북특별자치도,전주시,124283,285,436.080701754386
서울특별시,동대문구,72976,168,434.3809523809524
대구광역시,수성구,83662,193,433.4818652849741
서울특별시,동작구,75830,175,433.3142857142857
서울특별시,성동구,53513,124,431.55645161290323
경기도,화성시,116210,272,427.24264705882354
경기도,광명시,55172,131,421.1603053435114
서울특별시,용산구,40009,96,416.7604166666667
대전광역시,유성구,49702,120,414.18333333333334
서울특별시,광진구,62627,154,406.66883116883116
경기도,오산시,32689,81,403.5679012345679
서울특별시,강동구,98481,246,400.3292682926829
경기도,안양시,105773,268,394.67537313432837
서울특별시,마포구,61962,163,380.13496932515335
경기도,수원시,182342,481,379.0893970893971
경기도,성남시,171912,460,373.7217391304348
서울특별시,송파구,119821,322,372.1149068322981
세종특별자치시,대평동,1093,3,364.3333333333333
경기도,구리시,35886,101,355.3069306930693
광주광역시,서구,53886,153,352.19607843137254
대전광역시,서구,81539,236,345.5042372881356
광주광역시,광산구,51096,151,338.3841059602649
부산광역시,중구,12511,37,338.13513513513516
울산광역시,남구,55064,168,327.76190476190476
서울특별시,영등포구,71625,229,312.77292576419217
서울특별시,서초구,72511,312,232.40705128205127
서울특별시,종로구,30841,143,215.67132867132867
서울특별시,강남구,95827,525,182.52761904761905
대구광역시,중구,18608,110,169.16363636363636
서울특별시,중구,27266,185,147.38378378378377
세종특별자치시,나성동,522,6,87.0
